category,value,n,pct_of_257
role,student,214,83.3
role,instructor,43,16.7
sex,male,195,75.9
sex,female,62,24.1
age_bucket_5yr,18-24,40,15.6
age_bucket_5yr,25-29,81,31.5
age_bucket_5yr,30-34,41,16.0
age_bucket_5yr,35-39,39,15.2
age_bucket_5yr,40-44,25,9.7
age_bucket_5yr,45-49,3,1.2
age_bucket_5yr,nan,28,10.9
entity,FAC,226,87.9
entity,non_FAC,31,12.1
chamber_profile,IV-A,181,70.4
chamber_profile,SPN,64,24.9
chamber_profile,RD,9,3.5
chamber_profile,nan,3,1.2
segment_at_onset,DESCENSO,149,58.0
segment_at_onset,TIERRA,58,22.6
segment_at_onset,TARDIO,23,8.9
segment_at_onset,nan,11,4.3
segment_at_onset,ASCENSO,8,3.1
segment_at_onset,POSTVUELO,5,1.9
segment_at_onset,SNP DESCENSO,1,0.4
segment_at_onset,SPN ASCENSO,1,0.4
segment_at_onset,CRUCERO,1,0.4
lesion_category,barotrauma,186,72.4
lesion_category,ear_block,45,17.5
lesion_category,o2_aerotitis,22,8.6
lesion_category,other,4,1.6
specialty_top5,nan,173,67.3
specialty_top5,PILOTO,30,11.7
specialty_top5,MEDICO,18,7.0
specialty_top5,ENFERMERO,16,6.2
specialty_top5,TRIPULANTE,5,1.9
unit_top10,other,73,28.4
unit_top10,CEMAE,45,17.5
unit_top10,CACOM2,20,7.8
unit_top10,CACOM4,19,7.4
unit_top10,CATAM,18,7.0
unit_top10,CACOM3,18,7.0
unit_top10,EMAVI,15,5.8
unit_top10,CACOM5,15,5.8
unit_top10,CACOM1,13,5.1
unit_top10,EJERCITO,12,4.7
unit_top10,COFAC,9,3.5
flight_year_numerator_only,2010,20,7.8
flight_year_numerator_only,2011,7,2.7
flight_year_numerator_only,2012,18,7.0
flight_year_numerator_only,2013,24,9.3
flight_year_numerator_only,2014,22,8.6
flight_year_numerator_only,2015,22,8.6
flight_year_numerator_only,2016,30,11.7
flight_year_numerator_only,2017,36,14.0
flight_year_numerator_only,2018,31,12.1
flight_year_numerator_only,2019,44,17.1
flight_year_numerator_only,2020,3,1.2
