date,preflight_count,director_student_count
2025-02-03,18.0,
2025-02-04,3.0,
2025-02-09,1.0,
2025-02-10,16.0,
2025-02-17,14.0,10.0
2025-02-18,,6.0
2025-02-24,18.0,5.0
2025-03-03,23.0,7.0
2025-03-04,2.0,
2025-03-05,2.0,14.0
2025-03-10,4.0,
2025-03-17,16.0,11.0
2025-03-28,2.0,
2025-03-31,17.0,7.0
2025-04-01,,8.0
2025-04-07,2.0,
2025-04-08,1.0,
2025-04-21,5.0,
2025-04-28,10.0,7.0
2025-05-04,2.0,
2025-05-05,35.0,8.0
2025-05-06,2.0,8.0
2025-05-07,4.0,16.0
2025-05-12,10.0,8.0
2025-05-19,11.0,7.0
2025-05-26,11.0,8.0
2025-05-27,1.0,
2025-06-09,16.0,11.0
2025-06-10,1.0,
2025-06-16,12.0,8.0
2025-07-01,2.0,
2025-07-07,29.0,14.0
2025-07-08,4.0,14.0
2025-07-15,11.0,5.0
2025-07-21,9.0,6.0
2025-07-28,10.0,5.0
2025-07-29,2.0,4.0
2025-07-31,1.0,
2025-08-04,1.0,
2025-08-11,14.0,7.0
2025-08-12,1.0,
2025-08-25,20.0,15.0
2025-08-27,4.0,
2025-08-29,3.0,
2025-09-01,32.0,16.0
2025-09-02,4.0,16.0
2025-09-03,1.0,
2025-09-05,1.0,
2025-09-08,8.0,8.0
2025-09-09,1.0,
2025-09-15,1.0,
2025-09-22,37.0,8.0
2025-09-23,4.0,21.0
2025-09-24,1.0,
2025-09-29,17.0,12.0
2025-09-30,1.0,6.0
2025-10-06,41.0,16.0
2025-10-07,2.0,16.0
2025-10-14,34.0,8.0
2025-10-15,4.0,16.0
2025-10-16,,8.0
2025-10-20,4.0,
2025-10-21,1.0,3.0
2025-10-22,36.0,16.0
2025-10-23,5.0,16.0
2025-10-27,36.0,16.0
2025-10-28,2.0,13.0
2025-11-10,25.0,14.0
2025-11-11,3.0,8.0
2025-11-24,23.0,15.0
2025-11-25,2.0,6.0
2025-11-28,5.0,
2025-12-01,35.0,16.0
2025-12-02,1.0,8.0
2025-12-03,3.0,8.0
2025-12-15,34.0,16.0
2025-12-16,3.0,8.0
2026-01-27,1.0,
2026-01-30,13.0,
2026-02-02,38.0,16.0
2026-02-03,4.0,16.0
2026-02-09,16.0,8.0
2026-02-12,1.0,
2026-02-15,1.0,
2026-02-16,21.0,8.0
2026-02-17,3.0,14.0
2026-02-22,,7.0
2026-02-23,37.0,23.0
2026-02-24,4.0,
2026-03-01,1.0,
2026-03-02,32.0,8.0
2026-03-03,4.0,16.0
2026-03-04,3.0,7.0
2026-03-09,24.0,15.0
2026-03-11,18.0,8.0
2026-03-12,2.0,8.0
2026-03-14,1.0,
2026-03-16,14.0,6.0
2026-03-17,1.0,5.0
2026-03-24,1.0,
2026-04-13,27.0,8.0
2026-04-14,1.0,
