flag,n_positive,n_valid,prevalence_pct,wilson_lo_pct,wilson_hi_pct
chronic_disease_or_hosp,52,1046,4.97,3.81,6.46
ear_URI_history,36,1046,3.44,2.5,4.73
recent_respiratory,34,1046,3.25,2.34,4.51
cardiac_hypertension,31,1046,2.96,2.1,4.18
recent_dental,27,1046,2.58,1.78,3.73
recent_msk_injury,22,1046,2.1,1.39,3.16
tobacco_alcohol_24h,21,1046,2.01,1.32,3.05
GI_symptoms,13,1046,1.24,0.73,2.11
diving_altitude_48h,10,1046,0.96,0.52,1.75
claustrophobia,6,1046,0.57,0.26,1.25
malaise_fever_fatigue,4,1046,0.38,0.15,0.98
seizures_epilepsy,2,1046,0.19,0.05,0.69
anemia_bleeding,1,1046,0.1,0.02,0.54
possible_pregnancy,0,296,0.0,0.0,1.28
