et_dysfunction,descent_rate,descent_time,risk_score,risk_category,max_pressure_diff,mean_pressure_diff,volume_change
0.0,2000,12.5,0.8741479251049921,High,717.9818417662411,568.3755782109113,0.00012010521569948661
0.0,4000,6.25,0.8741479250980276,High,717.9818417662411,580.9329618056682,0.00012010521569325201
0.0,6000,4.166666666666667,0.8741479250949581,High,717.9818417662411,586.4221271188565,0.00012010521569050421
0.0,8000,3.125,0.874147925071251,High,717.9818417662411,589.4955050215407,0.0001201052156692816
0.25,2000,12.5,0.9396562819233253,High,717.9818417662411,568.3755782109113,0.00012006130734397609
0.25,4000,6.25,0.9396562819140163,High,717.9818417662411,580.9329618056682,0.00012006130733622708
0.25,6000,4.166666666666667,0.9396562819099276,High,717.9818417662411,586.4221271188565,0.00012006130733282355
0.25,8000,3.125,0.9396562818783182,High,717.9818417662411,589.4955050215407,0.00012006130730651127
0.5,2000,12.5,1.0,High,717.9818417662411,568.3755782109113,0.00012002670649198868
0.5,4000,6.25,1.0,High,717.9818417662411,580.9329618056682,0.00012002670648232454
0.5,6000,4.166666666666667,1.0,High,717.9818417662411,586.4221271188565,0.00012002670647807273
0.5,8000,3.125,1.0,High,717.9818417662411,589.4955050215407,0.00012002670644519799
0.75,2000,12.5,1.0,High,717.9818417662411,568.3755782109113,0.0001208860512760257
0.75,4000,6.25,1.0,High,717.9818417662411,580.9329618056682,0.00012088605126439958
0.75,6000,4.166666666666667,1.0,High,717.9818417662411,586.4221271188565,0.00012088605125932031
0.75,8000,3.125,1.0,High,717.9818417662411,589.4955050215407,0.0001208860512198831
1.0,2000,12.5,1.0,High,717.9818417662411,568.3755782109113,0.00012033674762153973
1.0,4000,6.25,1.0,High,717.9818417662411,580.9329618056682,0.00012033674760750929
1.0,6000,4.166666666666667,1.0,High,717.9818417662411,586.4221271188565,0.00012033674760137357
1.0,8000,3.125,1.0,High,717.9818417662411,589.4955050215407,0.0001203367475537398
